src/main/java/edu/asu/cst316/GameMain.java:6:	Avoid unused imports such as 'main.java.edu.asu.cst316.cards.CardText'
src/main/java/edu/asu/cst316/GameMain.java:8:	Avoid unused imports such as 'main.java.edu.asu.cst316.gameboard.GameSpace'
src/main/java/edu/asu/cst316/GameMain.java:21:	The class 'GameMain' has a Cyclomatic Complexity of 10 (Highest = 55).
src/main/java/edu/asu/cst316/GameMain.java:21:	The class 'GameMain' has a Modified Cyclomatic Complexity of 6 (Highest = 24).
src/main/java/edu/asu/cst316/GameMain.java:21:	The class 'GameMain' has a Standard Cyclomatic Complexity of 6 (Highest = 24).
src/main/java/edu/asu/cst316/GameMain.java:21:	Too many fields
src/main/java/edu/asu/cst316/GameMain.java:21:	headerCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:23:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:23:	Use explicit scoping instead of the default package private level
src/main/java/edu/asu/cst316/GameMain.java:23:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:25:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:25:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:26:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:26:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:27:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:27:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:28:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:28:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:29:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:29:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:30:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:30:	fieldCommentRequirement Required
src/main/java/edu/asu/cst316/GameMain.java:31:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/main/java/edu/asu/cst316/GameMain.java:31:	fieldCommentRequirement Required
